doc_id,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
substack:journalistic-jabberwocky-the-classificatory,0.12344197331255848,0.13415654004340832,0.23367529481715804,0.1871611445795879,0.12815580218752043,0.19340924505976695
substack:the-economics-and-ethics-of-moneylending,0.19346463171238013,0.16231711328939147,0.2923391803801892,0.10673635130121359,0.14503398673134535,0.10010873658548035
substack:religion-and-relativism-the-axis,0.17382699136291635,0.1312056430525661,0.2725737789113647,0.15799032065039034,0.1322743510538388,0.13212891496892365
substack:more-on-ahmadinejads-forum-at-columbia,0.14539842270477615,0.1994060531056718,0.12163888506524648,0.16828579960404932,0.1551157448960078,0.2101550946242484
substack:the-first-day-of-school-vandamme,0.24395296880015233,0.20245363304190855,0.1334276796262187,0.11851957332995831,0.2209440931917119,0.08070205201005014
substack:good-press-for-objectivism-and-atlas,0.1810130116553828,0.15243825009841214,0.28166264651588374,0.11623046191993436,0.13304877169517776,0.1356068581152093
substack:yesterdays-highlights-success,0.11823438694022383,0.1664587587430282,0.3454285541447377,0.11905664188216226,0.10753464257227743,0.14328701571757063
substack:scrutinizing-scrutons-scrutinizing,0.11616303877119838,0.1428141520236964,0.17810049917331292,0.19196470634582313,0.14154384555010327,0.22941375813586593
substack:deep-six-the-law-of-the-sea,0.13482510066352513,0.14416482634954444,0.2482948303148113,0.15280503949177168,0.17320270682236386,0.1467074963579836
substack:from-the-editor-winter-20072008,0.11718359129237223,0.0877042579801895,0.5004380875369048,0.09655586404861423,0.09417616279686492,0.10394203634505426
substack:letters-replies-5,0.1044392924911047,0.10466624041687846,0.305525039990756,0.1597658324190878,0.08190682611866561,0.24369676856350753
substack:american-victory-over-japan-1945,0.184987311168142,0.1036731041661733,0.4328071106018429,0.0692966554183193,0.14040730646588473,0.06882851217963765
substack:instrumentalism-american-tort-law,0.1978889673439032,0.15113115119797868,0.27397792241011354,0.10720646363394147,0.1661669065235505,0.10362858889051263
substack:moral-vs-universal-health-care,0.1761007730320109,0.13818287255795905,0.3144964973149668,0.12611563036591353,0.13309487692702798,0.11200934980212175
substack:yesterdays-highlights-stories-from,0.11361367916767359,0.21034716561109984,0.2972538792439795,0.1303692626432756,0.10160607116297384,0.14680994217099755
substack:predatory-legislating,0.14086647751507836,0.08497841705672393,0.5013998528589678,0.08222007045162785,0.11507785459535252,0.07545732752224935
substack:health-care-moral-rights-and-selfish,0.09572501208763677,0.13829189596330552,0.21468013623754564,0.22229601452119757,0.09567532160016885,0.23333161959014567
substack:letters-replies-6,0.12921533776734564,0.11828193438862637,0.5012877379277808,0.08319434326033542,0.08613973101037133,0.08188091564554034
substack:alistair-maclean-novels,0.2528198165884896,0.16480079185109675,0.28851774087113496,0.05150359759798213,0.19902424696504512,0.04333380612625148
substack:from-the-editor-9,0.15712434242265746,0.1281285338664705,0.2921545138989168,0.11365244098194245,0.20873532183360538,0.10020484699640742
substack:immigration-individual-rights,0.0825352824525811,0.08482170870158068,0.10945131881371178,0.3354910967781228,0.13568993777584146,0.25201065547816215
substack:friedrich-visual-romanticism,0.156460176703478,0.22926040562555977,0.098949228629878,0.13626661550843103,0.18567944951523255,0.19338412401742072
substack:newton-universal-laws,0.09925911657094477,0.10574811051727179,0.008147495169187736,0.03351643250954772,0.7329176281158053,0.020411217117242798
substack:darwin-discovery-evolution,0.1601732013438378,0.16244678835219126,0.12082897169902218,0.05830624249782332,0.4294273710301262,0.06881742507699917
substack:free-speech-vs-mccain-and-company,0.14517905519557778,0.0862779192755314,0.49241390272593966,0.0789837374428583,0.09146610211517184,0.10567928324492085
substack:rational-strings-are-good-things,0.0694399874911051,0.22942424182662996,0.048035177694287653,0.23431664482370393,0.17664608110114483,0.24213786706312843
substack:more-on-the-propriety-of-donations,0.15336624506439162,0.20780247394767928,0.22875070358616453,0.14949491359325107,0.12908179578946904,0.13150386801904465
substack:heidi-moores-argument-from-intimidation,0.14785205380478983,0.18084747722263889,0.21044805587241083,0.13660412450420714,0.16642585441307892,0.1578224341828745
substack:an-interview-with-lisa-vandamme-on,0.16784814752067287,0.21325341490326982,0.20829743043141238,0.1256468336290611,0.19180512745796574,0.09314904605761837
substack:rational-egoism-in-ayn-rands-the-fountainhead,0.11921244785525681,0.148650314496467,0.299510994597331,0.11943090546260347,0.08749385329225103,0.22570148429609074
substack:from-the-editor-10,0.13213282116210542,0.11834653825105497,0.3376887122754004,0.11866466118678731,0.19954289905641875,0.09362436806823311
substack:standard-oil-company,0.2013736559691358,0.12292542358968123,0.1181269636649865,0.1265545637347397,0.3668044715016586,0.06421492153979826
substack:newton-proof-atomic-theory,0.09291935736670995,0.10449923632900736,0.01655596678877307,0.039190445338865086,0.727311629396296,0.01952336478034845
substack:property-rights-electric-grid,0.20124633080723875,0.2004321047823714,0.16272390668354203,0.10417437134189844,0.25638991879818385,0.07503336758676582
substack:from-the-editor-11,0.09869140728541649,0.06784572139113697,0.618748099447086,0.07053288837295595,0.058334070284504796,0.0858478132189
substack:resurgence-big-government,0.15727415767314937,0.1339608906130023,0.1190803165770502,0.2332834273772395,0.22037103716501766,0.13603017059454106
substack:mystical-ethics-new-atheists,0.11167219439628726,0.16048153297031284,0.02743498197180559,0.3485033821543056,0.17880875695195783,0.17309915155533104
substack:john-agresto,0.16439342494518092,0.14831023141888436,0.28477953369952913,0.1161433818615768,0.19090785916020656,0.09546556891462232
substack:menace-of-pragmatism,0.14045232027499494,0.19617776597807374,0.08937347212733927,0.20813398856442802,0.19007211931126528,0.17579033374389882
substack:math-magic,0.15352627214462172,0.22960660618390896,0.0984157112705716,0.16543145768451104,0.21449830706869785,0.13852164564768885
substack:urgent-oppose-bailout-of-wall-street,0.2221617632933983,0.19149864419244667,0.1813516218737748,0.12858125268608356,0.1702758188524931,0.10613089910180377
substack:americas-anti-america-candidates,0.12065286557948719,0.13399033576781846,0.21675065102001448,0.1998369503697849,0.1276468470127187,0.2011223502501763
substack:capitalism-moral-high-ground,0.048506255497799196,0.09651051166206741,0.036834445559312964,0.3629355150916373,0.1578162277259926,0.29739704446319054
substack:from-the-editor-winter-20082009,0.1525946454257879,0.1253029844622659,0.3096138197123155,0.14427403615509551,0.11947868047848352,0.14873583376605162
substack:inductive-reasoning,0.14176266471291757,0.0948395140023842,0.023863651022571312,0.059175203933015993,0.6529425415195272,0.027416424809583513
